"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"La choza de Vargas","4.8","135","Parque huelva empresarial nave 28-29","Huelva","Huelva","ES",,"+34 607 53 39 65","Restaurante",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=La%20choza%20de%20Vargas&query_place_id=ChIJA295rBHFEQ0Rn2bkkUS1iew","Restaurante"
"Restaurante La Nicoba","4.6","98","A-5000-R","Huelva","Huelva","ES",,"+34 697 81 72 79","Restaurante",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Restaurante%20La%20Nicoba&query_place_id=ChIJj7MamwXFEQ0RnSJadozn3zY","Restaurante"
"Raymi Cafetería Pub","4.5","299","C. Diego de Almagro, 7","Huelva","Huelva","ES",,"","Cafetería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Raymi%20Cafeter%C3%ADa%20Pub&query_place_id=ChIJM5qbldfPEQ0RfNeTAWxXX6I","Cafetería"
"Bar Costa de la Luz","4.2","169","Av. Costa de la Luz, 4","Huelva","Huelva","ES",,"+34 667 06 09 16","Cafetería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Costa%20de%20la%20Luz&query_place_id=ChIJB2GKg9fPEQ0RCbpDX6q-euM","Cafetería"
"Pastelería Cafetería Forno Portugués","4.5","413","Barriada Humilladero de la Cinta, 98B","Huelva","Huelva","ES","https://mapyo.me/pastelera-cafetera-forno-portugues-455158-es","+34 640 91 31 82","Cafetería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Pasteler%C3%ADa%20Cafeter%C3%ADa%20Forno%20Portugu%C3%A9s&query_place_id=ChIJY-SZY8TPEQ0RVZKzbCkW2Sw","Cafetería"
"Cafetería Snif Heladería","4.5","74","C. Diego de Almagro, 14","Huelva","Huelva","ES",,"","Heladería","Cafetería",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cafeter%C3%ADa%20Snif%20Helader%C3%ADa&query_place_id=ChIJT3N7ltfPEQ0Rk9NdvCuNyBY","Heladería"
"Cafetería Inés María Domínguez de la Rosa","3.6","17","Av. de Cristóbal Colón, 103","Huelva","Huelva","ES",,"+34 959 80 29 33","Cafetería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cafeter%C3%ADa%20In%C3%A9s%20Mar%C3%ADa%20Dom%C3%ADnguez%20de%20la%20Rosa&query_place_id=ChIJLeD1NNrPEQ0REEptu3rzv8c","Cafetería"
"Cafetería El Viejo Molino","4.1","297","C. Adriano, 1","Huelva","Huelva","ES","https://cafeteriaelviejomolino.tucartadigital.com/","+34 667 07 16 49","Cafetería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cafeter%C3%ADa%20El%20Viejo%20Molino&query_place_id=ChIJu_veK9bPEQ0R9sr2aYrY0aQ","Cafetería"
"Café-Burger Desavio La Abuela","4.1","9","C. Juan Valera, 4","Huelva","Huelva","ES",,"+34 614 11 86 60","Cafetería","Panadería","Hamburguesería",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Caf%C3%A9-Burger%20Desavio%20La%20Abuela&query_place_id=ChIJOTCdy_HPEQ0R6r6LR16YTp0","Cafetería"
"Platero Terraza Bar","3.9","1523","Avenida de la Flores 115 Rotonda Entrada Hospital Juan Ramón Jiménez","Huelva","Huelva","ES",,"+34 687 78 26 90","Bar de tapas","Cafetería",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Platero%20Terraza%20Bar&query_place_id=ChIJ20xbCPHPEQ0R0E0yiSogxuo","Bar de tapas"
