"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","url","categoryName"
"Taller Mecánico J.Suarez","4.8","139","C. Pérez Galdós, 78","Huelva","Huelva","ES",,"+34 685 86 72 23","Taller mecánico",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Taller%20Mec%C3%A1nico%20J.Suarez&query_place_id=ChIJ4epH39vPEQ0RcWfc-ZKGt_o","Taller mecánico"
"Martin Sport Taller Mecánico Huelva","4.9","88","Plaza Pol. Ind. la Luz C, Fase 5, Puerta 12","Huelva","Huelva","ES","http://martinsport.es/","+34 680 41 10 68","Taller mecánico",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Martin%20Sport%20Taller%20Mec%C3%A1nico%20Huelva&query_place_id=ChIJdeOvhc_FEQ0RNJSFnNCgV4E","Taller mecánico"
"Talleres Sergio Vehículos Alta Gama","4.7","82","Polígono Polirrosa, Calle C Nave 202","Huelva","Huelva","ES","https://www.tuwebmovil.es/empresa/talleres-sergio-vehiculos-alta-gama/","+34 675 76 89 29","Taller mecánico",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Talleres%20Sergio%20Veh%C3%ADculos%20Alta%20Gama&query_place_id=ChIJM9TkpyfREQ0RwNcABSFxFqI","Taller mecánico"
"Taller Perlita","5","24","Plaza perlita de Huelva, C. Conde López Muñoz","Huelva","Huelva","ES","https://www.facebook.com/TallerPerlita/","+34 622 10 23 96","Taller mecánico",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Taller%20Perlita&query_place_id=ChIJwXFPAkDREQ0Rsb4kvFL_Q0M","Taller mecánico"
"Ramón Barba Bernal","4.7","20","C. Valdelamusa, 17","Huelva","Huelva","ES",,"+34 959 22 82 19","Taller de reparación de automóviles",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ram%C3%B3n%20Barba%20Bernal&query_place_id=ChIJCaYEIQPQEQ0Rq4e5rgKnPqg","Taller de reparación de automóviles"
"Espamovil","4.8","72","C. Duque de Ahumada, 14","Huelva","Huelva","ES","http://www.espamovil.com/","+34 959 26 20 32","Taller mecánico","Taller de reparación de automóviles","Taller de revisión de automóviles",,,,,,,"https://www.google.com/maps/search/?api=1&query=Espamovil&query_place_id=ChIJpZmW2yHQEQ0RPVrPMvFdTWQ","Taller mecánico"
"Talleres Flores Autohuelva - Bosch Car Service","4.5","645","Av. del Nuevo Colombino, 1","Huelva","Huelva","ES","http://www.talleresfloreshuelva.com/","+34 959 22 50 12","Taller mecánico","Taller de reparación de automóviles",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Talleres%20Flores%20Autohuelva%20-%20Bosch%20Car%20Service&query_place_id=ChIJWex3mADQEQ0RDeJasbJIUIQ","Taller mecánico"
"TALLER AUTOPRIME","4.9","35","C. Teide, 8","Huelva","Huelva","ES","https://www.facebook.com/profile.php?id=100072087495287","+34 623 27 98 90","Taller mecánico",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=TALLER%20AUTOPRIME&query_place_id=ChIJYwDswWXPEQ0RHF82t3rmtII","Taller mecánico"
"Car Service R. Lozano","4.5","68","Av. Palomeque, 16","Huelva","Huelva","ES",,"+34 616 89 51 67","Taller mecánico","Taller de reparación de automóviles",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Car%20Service%20R.%20Lozano&query_place_id=ChIJ00EFYR7QEQ0R-JE5FRx9QbQ","Taller mecánico"
"Neumatec","4.8","72","C. Isla Saltes, 2","Huelva","Huelva","ES","https://www.facebook.com/neumatec.cb","+34 959 80 30 74","Taller mecánico",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Neumatec&query_place_id=ChIJS_kUlhfQEQ0RuxDx-zFIOms","Taller mecánico"
