name,category,niche,rating,reviews,phone,website,websiteType,websiteQuality,opportunityScore,businessScore,isHigh,isNoWebsite,isSocial,isDirectory,isWeakWebsite,isSellable,city,state,googleMapsUrl,sourceFile
La choza de Vargas,Restaurante,Restaurante,4.8,135,+34 607 53 39 65,,none,NOT_APPLICABLE,92,89,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=La%20choza%20de%20Vargas&query_place_id=ChIJA295rBHFEQ0Rn2bkkUS1iew,bares\website-analysis.csv
Bar Pappis,Bar de tapas,Bar de tapas,4.6,1658,+34 959 23 58 06,,none,NOT_APPLICABLE,91,95,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Pappis&query_place_id=ChIJYfwZnhvQEQ0RUhE6HHYnr9o,bares\website-analysis.csv
Amor Amar Puerto,Restaurante,Restaurante,4.6,755,+34 652 70 22 11,,none,NOT_APPLICABLE,91,95,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Amor%20Amar%20Puerto&query_place_id=ChIJ0XbkKcnPEQ0RKbMqbWqYYoY,bares\website-analysis.csv
Restaurante Jardines del Odiel,Restaurante,Restaurante,4.7,592,+34 637 35 30 36,,none,NOT_APPLICABLE,91,95,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Restaurante%20Jardines%20del%20Odiel&query_place_id=ChIJFSHIVwTREQ0R_9m-9Wx86RM,bares\website-analysis.csv
Bar Buena vida Huelva,Restaurante,Restaurante,4.5,363,+34 637 57 04 56,,none,NOT_APPLICABLE,91,90,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Buena%20vida%20Huelva&query_place_id=ChIJJXuXpoTPEQ0RhQIhZ61DU8g,bares\website-analysis.csv
Freiduría Hidalgo,Restaurante,Restaurante,4.5,112,+34 959 31 68 47,,none,NOT_APPLICABLE,88,84,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Freidur%C3%ADa%20Hidalgo&query_place_id=ChIJaSDtr-_PEQ0R8f_aiRYC0OE,bares\website-analysis.csv
Restaurante La Nicoba,Restaurante,Restaurante,4.6,98,+34 697 81 72 79,,none,NOT_APPLICABLE,85,77,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Restaurante%20La%20Nicoba&query_place_id=ChIJj7MamwXFEQ0RnSJadozn3zY,bares\website-analysis.csv
Bar El Pueblo,Bar,Bar,4.5,80,+34 625 17 18 02,,none,NOT_APPLICABLE,85,77,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20El%20Pueblo&query_place_id=ChIJCZubuR7QEQ0R8wQy32yQ5co,bares\website-analysis.csv
Nuevo Garrisons burger,Hamburguesería,Hamburguesería,4.7,303,+34 666 48 60 88,https://www.facebook.com/profile.php?id=100088812015001,social,NOT_APPLICABLE,84,90,true,false,true,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Nuevo%20Garrisons%20burger&query_place_id=ChIJ_yuK8uLPEQ0Rb5aNOgw3EbU,bares\website-analysis.csv
Terraza-Bar La Hispanidad,Bar de tapas,Bar de tapas,4.4,1504,+34 959 25 69 02,,none,NOT_APPLICABLE,84,86,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Terraza-Bar%20La%20Hispanidad&query_place_id=ChIJD0X1G-HPEQ0RahZW-jaLknc,bares\website-analysis.csv
Cafetería La Góndola Onubense S.L.,Churrería,Churrería,4.4,506,+34 959 15 15 01,,none,NOT_APPLICABLE,84,86,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Cafeter%C3%ADa%20La%20G%C3%B3ndola%20Onubense%20S.L.&query_place_id=ChIJw2qctO7PEQ0Rnfwmvn_W8Js,bares\website-analysis.csv
Restaurante Blandón,Bar restaurante,Bar restaurante,4.1,464,+34 959 24 29 79,,none,NOT_APPLICABLE,84,81,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Restaurante%20Bland%C3%B3n&query_place_id=ChIJd4_gMNjPEQ0RNkd9iYhGcAM,bares\website-analysis.csv
Albero Gastro y Folklore,Bar restaurante,Bar restaurante,4.3,457,+34 680 93 76 44,,none,NOT_APPLICABLE,84,81,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Albero%20Gastro%20y%20Folklore&query_place_id=ChIJN2NRFNjPEQ0RuHFDp_jfipo,bares\website-analysis.csv
Ibiza Bar,Bar,Bar,4.8,152,,,none,NOT_APPLICABLE,82,74,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Ibiza%20Bar&query_place_id=ChIJj9oYMibQEQ0RqaE-z3rzWKE,bares\website-analysis.csv
La Churreria,Cafetería,Cafetería,4.2,295,+34 655 62 37 09,,none,NOT_APPLICABLE,81,75,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=La%20Churreria&query_place_id=ChIJpcqW1sHPEQ0R58w58LxZ0Ho,bares\website-analysis.csv
Bodeguita Leal,Bar,Bar,4.2,288,+34 625 07 18 81,,none,NOT_APPLICABLE,81,75,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bodeguita%20Leal&query_place_id=ChIJq6p--ejPEQ0RExxMCVaj8rQ,bares\website-analysis.csv
Bar Los Pitufos,Bar de tapas,Bar de tapas,4.4,217,+34 657 81 15 90,,none,NOT_APPLICABLE,81,75,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=Bar%20Los%20Pitufos&query_place_id=ChIJB_JKs9vPEQ0Rz-X-wl8vYXM,bares\website-analysis.csv
El Mercado Ciudad del Marisco,Restaurante,Restaurante,4.4,208,+34 692 41 21 36,,none,NOT_APPLICABLE,81,75,true,true,false,false,false,true,Huelva,Huelva,https://www.google.com/maps/search/?api=1&query=El%20Mercado%20Ciudad%20del%20Marisco&query_place_id=ChIJLct8yKXPEQ0Rx2JyrfUdsGc,bares\website-analysis.csv
